Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
CORDOBA,CAPITAL,2147.0,4678,328824.0
CORDOBA,CAPITAL,2147.0,4678,123715.0
CORDOBA,CAPITAL,2147.0,4678,391498.0
CORDOBA,CAPITAL,2147.0,4678,1498060.0
CORDOBA,CAPITAL,2147.0,4678,624003.0
CORDOBA,CAPITAL,2147.0,4678,437446.0
CORDOBA,CAPITAL,2147.0,4678,210507.0
CORDOBA,CAPITAL,2147.0,4678,114849.0
CORDOBA,CAPITAL,2147.0,4678,587289.0
CORDOBA,CAPITAL,2147.0,4678,186466.0
CORDOBA,CAPITAL,2147.0,4678,118504.0
MENDOZA,CAPITAL,580.0,4678,210507.0
MENDOZA,CAPITAL,580.0,4678,114849.0
MENDOZA,CAPITAL,580.0,4678,391498.0
MENDOZA,CAPITAL,580.0,4678,118504.0
MENDOZA,CAPITAL,580.0,4678,328824.0
MENDOZA,CAPITAL,580.0,4678,123715.0
MENDOZA,CAPITAL,580.0,4678,624003.0
MENDOZA,CAPITAL,580.0,4678,1498060.0
MENDOZA,CAPITAL,580.0,4678,437446.0
MENDOZA,CAPITAL,580.0,4678,186466.0
MENDOZA,CAPITAL,580.0,4678,587289.0
SALTA,CAPITAL,509.0,4678,123715.0
SALTA,CAPITAL,509.0,4678,328824.0
SALTA,CAPITAL,509.0,4678,391498.0
SALTA,CAPITAL,509.0,4678,437446.0
SALTA,CAPITAL,509.0,4678,624003.0
SALTA,CAPITAL,509.0,4678,1498060.0
SALTA,CAPITAL,509.0,4678,186466.0
SALTA,CAPITAL,509.0,4678,210507.0
SALTA,CAPITAL,509.0,4678,587289.0
SALTA,CAPITAL,509.0,4678,114849.0
SALTA,CAPITAL,509.0,4678,118504.0
TUCUMAN,CAPITAL,414.0,4678,391498.0
TUCUMAN,CAPITAL,414.0,4678,114849.0
TUCUMAN,CAPITAL,414.0,4678,210507.0
TUCUMAN,CAPITAL,414.0,4678,328824.0
TUCUMAN,CAPITAL,414.0,4678,123715.0
TUCUMAN,CAPITAL,414.0,4678,118504.0
TUCUMAN,CAPITAL,414.0,4678,186466.0
TUCUMAN,CAPITAL,414.0,4678,587289.0
TUCUMAN,CAPITAL,414.0,4678,1498060.0
TUCUMAN,CAPITAL,414.0,4678,624003.0
TUCUMAN,CAPITAL,414.0,4678,437446.0
SAN JUAN,CAPITAL,270.0,4678,118504.0
SAN JUAN,CAPITAL,270.0,4678,624003.0
SAN JUAN,CAPITAL,270.0,4678,437446.0
SAN JUAN,CAPITAL,270.0,4678,1498060.0
SAN JUAN,CAPITAL,270.0,4678,391498.0
SAN JUAN,CAPITAL,270.0,4678,210507.0
SAN JUAN,CAPITAL,270.0,4678,186466.0
SAN JUAN,CAPITAL,270.0,4678,114849.0
SAN JUAN,CAPITAL,270.0,4678,587289.0
SAN JUAN,CAPITAL,270.0,4678,123715.0
SAN JUAN,CAPITAL,270.0,4678,328824.0
MISIONES,CAPITAL,207.0,4678,118504.0
MISIONES,CAPITAL,207.0,4678,186466.0
MISIONES,CAPITAL,207.0,4678,587289.0
MISIONES,CAPITAL,207.0,4678,210507.0
MISIONES,CAPITAL,207.0,4678,114849.0
MISIONES,CAPITAL,207.0,4678,1498060.0
MISIONES,CAPITAL,207.0,4678,391498.0
MISIONES,CAPITAL,207.0,4678,437446.0
MISIONES,CAPITAL,207.0,4678,624003.0
MISIONES,CAPITAL,207.0,4678,328824.0
MISIONES,CAPITAL,207.0,4678,123715.0
LA RIOJA,CAPITAL,159.0,4678,118504.0
LA RIOJA,CAPITAL,159.0,4678,186466.0
LA RIOJA,CAPITAL,159.0,4678,587289.0
LA RIOJA,CAPITAL,159.0,4678,114849.0
LA RIOJA,CAPITAL,159.0,4678,210507.0
LA RIOJA,CAPITAL,159.0,4678,437446.0
LA RIOJA,CAPITAL,159.0,4678,624003.0
LA RIOJA,CAPITAL,159.0,4678,1498060.0
LA RIOJA,CAPITAL,159.0,4678,391498.0
LA RIOJA,CAPITAL,159.0,4678,328824.0
LA RIOJA,CAPITAL,159.0,4678,123715.0
CORRIENTES,CAPITAL,145.0,4678,123715.0
CORRIENTES,CAPITAL,145.0,4678,328824.0
CORRIENTES,CAPITAL,145.0,4678,114849.0
CORRIENTES,CAPITAL,145.0,4678,210507.0
CORRIENTES,CAPITAL,145.0,4678,186466.0
CORRIENTES,CAPITAL,145.0,4678,587289.0
CORRIENTES,CAPITAL,145.0,4678,1498060.0
CORRIENTES,CAPITAL,145.0,4678,624003.0
CORRIENTES,CAPITAL,145.0,4678,437446.0
CORRIENTES,CAPITAL,145.0,4678,391498.0
CORRIENTES,CAPITAL,145.0,4678,118504.0
CATAMARCA,CAPITAL,130.0,4678,391498.0
CATAMARCA,CAPITAL,130.0,4678,114849.0
CATAMARCA,CAPITAL,130.0,4678,210507.0
CATAMARCA,CAPITAL,130.0,4678,328824.0
CATAMARCA,CAPITAL,130.0,4678,123715.0
CATAMARCA,CAPITAL,130.0,4678,118504.0
CATAMARCA,CAPITAL,130.0,4678,186466.0
CATAMARCA,CAPITAL,130.0,4678,587289.0
CATAMARCA,CAPITAL,130.0,4678,437446.0
CATAMARCA,CAPITAL,130.0,4678,624003.0
CATAMARCA,CAPITAL,130.0,4678,1498060.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,210507.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,114849.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,391498.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,123715.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,328824.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,118504.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,624003.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,1498060.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,437446.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,186466.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,587289.0
LA PAMPA,CAPITAL,97.0,4678,118504.0
LA PAMPA,CAPITAL,97.0,4678,1498060.0
LA PAMPA,CAPITAL,97.0,4678,437446.0
LA PAMPA,CAPITAL,97.0,4678,624003.0
LA PAMPA,CAPITAL,97.0,4678,391498.0
LA PAMPA,CAPITAL,97.0,4678,114849.0
LA PAMPA,CAPITAL,97.0,4678,210507.0
LA PAMPA,CAPITAL,97.0,4678,587289.0
LA PAMPA,CAPITAL,97.0,4678,186466.0
LA PAMPA,CAPITAL,97.0,4678,123715.0
LA PAMPA,CAPITAL,97.0,4678,328824.0
SANTA FE,ROSARIO,2411.0,1248,1337958.0
BUENOS AIRES,LA MATANZA,1539.0,1186,1837168.0
BUENOS AIRES,SAN FERNANDO,270.0,1003,171099.0
BUENOS AIRES,SAN FERNANDO,270.0,1003,413764.0
CHACO,SAN FERNANDO,260.0,1003,413764.0
CHACO,SAN FERNANDO,260.0,1003,171099.0
BUENOS AIRES,LA PLATA,347.0,832,756074.0
SANTA FE,LA CAPITAL,507.0,728,568259.0
BUENOS AIRES,LOMAS DE ZAMORA,496.0,647,685644.0
RIO NEGRO,GENERAL ROCA,804.0,639,379627.0
RIO NEGRO,GENERAL ROCA,804.0,639,36064.0
CORDOBA,GENERAL ROCA,35.0,639,379627.0
CORDOBA,GENERAL ROCA,35.0,639,36064.0
BUENOS AIRES,ALMIRANTE BROWN,352.0,611,583209.0
BUENOS AIRES,ALMIRANTE BROWN,352.0,611,37794.0
CHACO,ALMIRANTE BROWN,10.0,611,37794.0
CHACO,ALMIRANTE BROWN,10.0,611,583209.0
CORDOBA,SAN JUSTO,433.0,550,46486.0
CORDOBA,SAN JUSTO,433.0,550,228951.0
SANTA FE,SAN JUSTO,31.0,550,46486.0
SANTA FE,SAN JUSTO,31.0,550,228951.0
BUENOS AIRES,MORENO,335.0,545,575758.0
BUENOS AIRES,MORENO,335.0,545,40352.0
SANTIAGO DEL ESTERO,MORENO,20.0,545,40352.0
SANTIAGO DEL ESTERO,MORENO,20.0,545,575758.0
BUENOS AIRES,QUILMES,678.0,542,631774.0
BUENOS AIRES,AVELLANEDA,856.0,538,366117.0
BUENOS AIRES,AVELLANEDA,856.0,538,25462.0
BUENOS AIRES,AVELLANEDA,856.0,538,41160.0
RIO NEGRO,AVELLANEDA,54.0,538,41160.0
RIO NEGRO,AVELLANEDA,54.0,538,25462.0
RIO NEGRO,AVELLANEDA,54.0,538,366117.0
SANTIAGO DEL ESTERO,AVELLANEDA,2.0,538,366117.0
SANTIAGO DEL ESTERO,AVELLANEDA,2.0,538,41160.0
SANTIAGO DEL ESTERO,AVELLANEDA,2.0,538,25462.0
SAN JUAN,25 DE MAYO,24.0,460,20824.0
SAN JUAN,25 DE MAYO,24.0,460,35411.0
SAN JUAN,25 DE MAYO,24.0,460,30877.0
SAN JUAN,25 DE MAYO,24.0,460,16555.0
SAN JUAN,25 DE MAYO,24.0,460,32606.0
BUENOS AIRES,25 DE MAYO,10.0,460,30877.0
BUENOS AIRES,25 DE MAYO,10.0,460,35411.0
BUENOS AIRES,25 DE MAYO,10.0,460,16555.0
BUENOS AIRES,25 DE MAYO,10.0,460,32606.0
BUENOS AIRES,25 DE MAYO,10.0,460,20824.0
RIO NEGRO,25 DE MAYO,7.0,460,30877.0
RIO NEGRO,25 DE MAYO,7.0,460,35411.0
RIO NEGRO,25 DE MAYO,7.0,460,32606.0
RIO NEGRO,25 DE MAYO,7.0,460,16555.0
RIO NEGRO,25 DE MAYO,7.0,460,20824.0
MISIONES,25 DE MAYO,2.0,460,35411.0
MISIONES,25 DE MAYO,2.0,460,20824.0
MISIONES,25 DE MAYO,2.0,460,30877.0
MISIONES,25 DE MAYO,2.0,460,16555.0
MISIONES,25 DE MAYO,2.0,460,32606.0
CHACO,25 DE MAYO,0.0,460,30877.0
CHACO,25 DE MAYO,0.0,460,32606.0
CHACO,25 DE MAYO,0.0,460,16555.0
CHACO,25 DE MAYO,0.0,460,20824.0
CHACO,25 DE MAYO,0.0,460,35411.0
NEUQUEN,CONFLUENCIA,882.0,452,467217.0
BUENOS AIRES,MERLO,133.0,426,581484.0
MENDOZA,RIVADAVIA,111.0,418,19735.0
MENDOZA,RIVADAVIA,111.0,418,5314.0
MENDOZA,RIVADAVIA,111.0,418,101334.0
MENDOZA,RIVADAVIA,111.0,418,38062.0
MENDOZA,RIVADAVIA,111.0,418,63589.0
BUENOS AIRES,RIVADAVIA,23.0,418,19735.0
BUENOS AIRES,RIVADAVIA,23.0,418,101334.0
BUENOS AIRES,RIVADAVIA,23.0,418,63589.0
BUENOS AIRES,RIVADAVIA,23.0,418,38062.0
BUENOS AIRES,RIVADAVIA,23.0,418,5314.0
SAN JUAN,RIVADAVIA,23.0,418,19735.0
SAN JUAN,RIVADAVIA,23.0,418,38062.0
SAN JUAN,RIVADAVIA,23.0,418,101334.0
SAN JUAN,RIVADAVIA,23.0,418,5314.0
SAN JUAN,RIVADAVIA,23.0,418,63589.0
SANTIAGO DEL ESTERO,RIVADAVIA,2.0,418,19735.0
SANTIAGO DEL ESTERO,RIVADAVIA,2.0,418,5314.0
SANTIAGO DEL ESTERO,RIVADAVIA,2.0,418,101334.0
SANTIAGO DEL ESTERO,RIVADAVIA,2.0,418,38062.0
SANTIAGO DEL ESTERO,RIVADAVIA,2.0,418,63589.0
SALTA,RIVADAVIA,0.0,418,19735.0
SALTA,RIVADAVIA,0.0,418,5314.0
SALTA,RIVADAVIA,0.0,418,38062.0
SALTA,RIVADAVIA,0.0,418,63589.0
SALTA,RIVADAVIA,0.0,418,101334.0
BUENOS AIRES,TIGRE,871.0,394,446291.0
SANTA FE,GENERAL OBLIGADO,147.0,377,197533.0
FORMOSA,PATIÑO,4.0,376,81600.0
BUENOS AIRES,SAN PEDRO,86.0,371,88237.0
BUENOS AIRES,SAN PEDRO,86.0,371,34690.0
BUENOS AIRES,SAN PEDRO,86.0,371,68353.0
JUJUY,SAN PEDRO,18.0,371,34690.0
JUJUY,SAN PEDRO,18.0,371,88237.0
JUJUY,SAN PEDRO,18.0,371,68353.0
MISIONES,SAN PEDRO,0.0,371,68353.0
MISIONES,SAN PEDRO,0.0,371,34690.0
MISIONES,SAN PEDRO,0.0,371,88237.0
BUENOS AIRES,9 DE JULIO,45.0,364,3682.0
BUENOS AIRES,9 DE JULIO,45.0,364,52366.0
BUENOS AIRES,9 DE JULIO,45.0,364,12498.0
BUENOS AIRES,9 DE JULIO,45.0,364,30223.0
BUENOS AIRES,9 DE JULIO,45.0,364,30942.0
SANTA FE,9 DE JULIO,28.0,364,12498.0
SANTA FE,9 DE JULIO,28.0,364,52366.0
SANTA FE,9 DE JULIO,28.0,364,30223.0
SANTA FE,9 DE JULIO,28.0,364,30942.0
SANTA FE,9 DE JULIO,28.0,364,3682.0
SAN JUAN,9 DE JULIO,21.0,364,52366.0
SAN JUAN,9 DE JULIO,21.0,364,12498.0
SAN JUAN,9 DE JULIO,21.0,364,3682.0
SAN JUAN,9 DE JULIO,21.0,364,30223.0
SAN JUAN,9 DE JULIO,21.0,364,30942.0
CHACO,9 DE JULIO,7.0,364,52366.0
CHACO,9 DE JULIO,7.0,364,12498.0
CHACO,9 DE JULIO,7.0,364,30223.0
CHACO,9 DE JULIO,7.0,364,30942.0
CHACO,9 DE JULIO,7.0,364,3682.0
RIO NEGRO,9 DE JULIO,1.0,364,12498.0
RIO NEGRO,9 DE JULIO,1.0,364,52366.0
RIO NEGRO,9 DE JULIO,1.0,364,3682.0
RIO NEGRO,9 DE JULIO,1.0,364,30223.0
RIO NEGRO,9 DE JULIO,1.0,364,30942.0
MENDOZA,SAN RAFAEL,276.0,345,213204.0
CHUBUT,RAWSON,168.0,344,144420.0
CHUBUT,RAWSON,168.0,344,136582.0
FORMOSA,FORMOSA,89.0,344,268572.0
SAN JUAN,RAWSON,54.0,344,136582.0
SAN JUAN,RAWSON,54.0,344,144420.0
BUENOS AIRES,FLORENCIO VARELA,138.0,343,488103.0
BUENOS AIRES,SAN MIGUEL,161.0,341,12700.0
BUENOS AIRES,SAN MIGUEL,161.0,341,327650.0
CORRIENTES,SAN MIGUEL,2.0,341,327650.0
CORRIENTES,SAN MIGUEL,2.0,341,12700.0
BUENOS AIRES,PILAR,842.0,339,393614.0
BUENOS AIRES,BERAZATEGUI,257.0,335,358328.0
ENTRE RIOS,LA PAZ,33.0,330,26341.0
ENTRE RIOS,LA PAZ,33.0,330,12018.0
ENTRE RIOS,LA PAZ,33.0,330,75271.0
CATAMARCA,LA PAZ,9.0,330,75271.0
CATAMARCA,LA PAZ,9.0,330,12018.0
CATAMARCA,LA PAZ,9.0,330,26341.0
MENDOZA,LA PAZ,6.0,330,12018.0
MENDOZA,LA PAZ,6.0,330,26341.0
MENDOZA,LA PAZ,6.0,330,75271.0
BUENOS AIRES,SAN ISIDRO,1564.0,327,295978.0
BUENOS AIRES,TRES DE FEBRERO,869.0,316,362319.0
SANTA FE,CASTELLANOS,360.0,311,189464.0
CORDOBA,SAN JAVIER,18.0,288,62700.0
CORDOBA,SAN JAVIER,18.0,288,33180.0
CORDOBA,SAN JAVIER,18.0,288,23080.0
SANTA FE,SAN JAVIER,17.0,288,23080.0
SANTA FE,SAN JAVIER,17.0,288,33180.0
SANTA FE,SAN JAVIER,17.0,288,62700.0
MISIONES,SAN JAVIER,4.0,288,62700.0
MISIONES,SAN JAVIER,4.0,288,33180.0
MISIONES,SAN JAVIER,4.0,288,23080.0
CABA,COMUNA 1,4846.0,278,221001.0
CABA,COMUNA 4,1184.0,275,227024.0
SANTA FE,SAN LORENZO,333.0,264,193786.0
SANTA FE,SAN LORENZO,333.0,264,16045.0
CHACO,SAN LORENZO,0.0,264,193786.0
CHACO,SAN LORENZO,0.0,264,16045.0
SANTIAGO DEL ESTERO,BANDA,34.0,262,170401.0
BUENOS AIRES,MALVINAS ARGENTINAS,604.0,255,349401.0
BUENOS AIRES,ESCOBAR,472.0,249,256071.0
CHACO,BERMEJO,4.0,248,15600.0
CHACO,BERMEJO,4.0,248,28060.0
FORMOSA,BERMEJO,0.0,248,28060.0
FORMOSA,BERMEJO,0.0,248,15600.0
CORDOBA,PUNILLA,179.0,245,219494.0
SANTA FE,LAS COLONIAS,211.0,241,114730.0
BUENOS AIRES,CHACABUCO,63.0,240,26522.0
BUENOS AIRES,CHACABUCO,63.0,240,34493.0
BUENOS AIRES,CHACABUCO,63.0,240,52409.0
CHACO,CHACABUCO,44.0,240,34493.0
CHACO,CHACABUCO,44.0,240,26522.0
CHACO,CHACABUCO,44.0,240,52409.0
SAN LUIS,CHACABUCO,33.0,240,26522.0
SAN LUIS,CHACABUCO,33.0,240,34493.0
SAN LUIS,CHACABUCO,33.0,240,52409.0
MENDOZA,LAVALLE,34.0,234,47086.0
MENDOZA,LAVALLE,34.0,234,40406.0
CORRIENTES,LAVALLE,1.0,234,47086.0
CORRIENTES,LAVALLE,1.0,234,40406.0
MENDOZA,GODOY CRUZ,326.0,232,194557.0
RIO NEGRO,BARILOCHE,199.0,230,161443.0
TUCUMAN,CRUZ ALTA,84.0,225,227688.0
MENDOZA,LAS HERAS,129.0,222,233839.0
CABA,COMUNA 8,351.0,219,203888.0
ENTRE RIOS,CONCORDIA,171.0,217,197603.0
CHUBUT,ESCALANTE,381.0,215,214829.0
BUENOS AIRES,MERCEDES,64.0,215,49807.0
BUENOS AIRES,MERCEDES,64.0,215,71002.0
CORRIENTES,MERCEDES,28.0,215,49807.0
CORRIENTES,MERCEDES,28.0,215,71002.0
CABA,COMUNA 3,703.0,214,193537.0
FORMOSA,PILCOMAYO,16.0,213,94116.0
BUENOS AIRES,TANDIL,138.0,209,144678.0
MENDOZA,GENERAL ALVEAR,44.0,209,52379.0
MENDOZA,GENERAL ALVEAR,44.0,209,10150.0
MENDOZA,GENERAL ALVEAR,44.0,209,9051.0
BUENOS AIRES,GENERAL ALVEAR,3.0,209,9051.0
BUENOS AIRES,GENERAL ALVEAR,3.0,209,10150.0
BUENOS AIRES,GENERAL ALVEAR,3.0,209,52379.0
CORRIENTES,GENERAL ALVEAR,3.0,209,52379.0
CORRIENTES,GENERAL ALVEAR,3.0,209,10150.0
CORRIENTES,GENERAL ALVEAR,3.0,209,9051.0
ENTRE RIOS,URUGUAY,87.0,204,115516.0
MISIONES,SAN IGNACIO,16.0,199,63194.0
RIO NEGRO,ADOLFO ALSINA,54.0,197,17344.0
RIO NEGRO,ADOLFO ALSINA,54.0,197,63845.0
BUENOS AIRES,ADOLFO ALSINA,10.0,197,17344.0
BUENOS AIRES,ADOLFO ALSINA,10.0,197,63845.0
MISIONES,LEANDRO N. ALEM,43.0,193,49391.0
MISIONES,LEANDRO N. ALEM,43.0,193,17153.0
BUENOS AIRES,LEANDRO N. ALEM,25.0,193,49391.0
BUENOS AIRES,LEANDRO N. ALEM,25.0,193,17153.0
MISIONES,GENERAL MANUEL BELGRANO,14.0,193,45456.0
CORDOBA,TERCERO ARRIBA,160.0,191,120207.0
CABA,COMUNA 13,1070.0,190,262330.0
SANTA FE,VERA,11.0,189,55463.0
CORRIENTES,GOYA,28.0,188,106223.0
BUENOS AIRES,PERGAMINO,198.0,184,114988.0
CABA,COMUNA 7,414.0,180,213262.0
BUENOS AIRES,HURLINGHAM,182.0,174,185361.0
CABA,COMUNA 14,1526.0,173,247252.0
ENTRE RIOS,VILLAGUAY,26.0,173,55284.0
CABA,COMUNA 11,592.0,172,201905.0
CABA,COMUNA 12,826.0,171,235364.0
BUENOS AIRES,EZEIZA,219.0,171,198620.0
CABA,COMUNA 10,378.0,168,171896.0
CABA,COMUNA 15,1166.0,163,195265.0
CABA,COMUNA 9,640.0,163,167908.0
CORDOBA,CRUZ DEL EJE,20.0,163,64748.0
MISIONES,ELDORADO,37.0,162,91133.0
BUENOS AIRES,CAMPANA,138.0,161,107976.0
BUENOS AIRES,NECOCHEA,69.0,161,101483.0
SAN LUIS,AYACUCHO,5.0,158,21757.0
SAN LUIS,AYACUCHO,5.0,158,23653.0
BUENOS AIRES,AYACUCHO,4.0,158,21757.0
BUENOS AIRES,AYACUCHO,4.0,158,23653.0
CABA,COMUNA 5,441.0,156,192449.0
CORDOBA,CALAMUCHITA,29.0,152,75462.0
BUENOS AIRES,AZUL,39.0,151,75152.0
SANTA FE,BELGRANO,171.0,145,48544.0
SANTA FE,BELGRANO,171.0,145,10809.0
SANTA FE,BELGRANO,171.0,145,5575.0
SANTIAGO DEL ESTERO,BELGRANO,19.0,145,10809.0
SANTIAGO DEL ESTERO,BELGRANO,19.0,145,5575.0
SANTIAGO DEL ESTERO,BELGRANO,19.0,145,48544.0
SAN LUIS,BELGRANO,3.0,145,5575.0
SAN LUIS,BELGRANO,3.0,145,10809.0
SAN LUIS,BELGRANO,3.0,145,48544.0
SANTA CRUZ,DESEADO,196.0,142,126266.0
ENTRE RIOS,DIAMANTE,38.0,142,52312.0
CABA,COMUNA 6,412.0,141,201764.0
MENDOZA,SAN CARLOS,115.0,139,7779.0
MENDOZA,SAN CARLOS,115.0,139,39752.0
SALTA,SAN CARLOS,0.0,139,7779.0
SALTA,SAN CARLOS,0.0,139,39752.0
SANTA FE,IRIONDO,125.0,138,73636.0
BUENOS AIRES,PELLEGRINI,3.0,136,26193.0
BUENOS AIRES,PELLEGRINI,3.0,136,7112.0
SANTIAGO DEL ESTERO,PELLEGRINI,1.0,136,7112.0
SANTIAGO DEL ESTERO,PELLEGRINI,1.0,136,26193.0
SANTA FE,CASEROS,128.0,134,86261.0
TUCUMAN,LEALES,16.0,134,66352.0
BUENOS AIRES,TRENQUE LAUQUEN,79.0,130,49128.0
SAN LUIS,GENERAL PEDERNERA,165.0,128,148671.0
MENDOZA,SANTA ROSA,60.0,128,19379.0
MENDOZA,SANTA ROSA,60.0,128,13317.0
CATAMARCA,SANTA ROSA,10.0,128,13317.0
CATAMARCA,SANTA ROSA,10.0,128,19379.0
BUENOS AIRES,CHIVILCOY,76.0,127,70554.0
ENTRE RIOS,GUALEGUAY,44.0,127,56796.0
CORRIENTES,GENERAL PAZ,4.0,127,14141.0
CORRIENTES,GENERAL PAZ,4.0,127,17016.0
BUENOS AIRES,GENERAL PAZ,1.0,127,17016.0
BUENOS AIRES,GENERAL PAZ,1.0,127,14141.0
SAN JUAN,SARMIENTO,57.0,123,5034.0
SAN JUAN,SARMIENTO,57.0,123,27188.0
SAN JUAN,SARMIENTO,57.0,123,14477.0
ENTRE RIOS,VICTORIA,28.0,123,40301.0
CHUBUT,SARMIENTO,6.0,123,27188.0
CHUBUT,SARMIENTO,6.0,123,14477.0
CHUBUT,SARMIENTO,6.0,123,5034.0
SANTIAGO DEL ESTERO,SARMIENTO,2.0,123,27188.0
SANTIAGO DEL ESTERO,SARMIENTO,2.0,123,14477.0
SANTIAGO DEL ESTERO,SARMIENTO,2.0,123,5034.0
BUENOS AIRES,GENERAL BELGRANO,12.0,119,20674.0
BUENOS AIRES,GENERAL BELGRANO,12.0,119,7615.0
BUENOS AIRES,GENERAL BELGRANO,12.0,119,12807.0
CORDOBA,SAN ALBERTO,10.0,119,42029.0
